,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.09,0.31,0.54,0.68,0.81,0.98
0.15,0,0,0,0,0,0,0,0,0,0.02,0,0.08,0.25,0.66,0.82,0.93,1,1,1,1,1
0.2,0,0,0,0,0,0,0,0,0.02,0.17,0.51,0.82,0.96,0.99,1,1,1,1,1,1,1
0.25,0,0,0,0,0,0,0,0.05,0.34,0.78,0.95,1,1,1,1,1,1,1,1,1,1
0.3,0,0,0,0,0,0,0.05,0.31,0.84,0.99,1,1,1,1,1,1,1,1,1,1,1
0.35,0,0,0,0,0,0,0.21,0.83,0.99,1,1,1,1,1,1,1,1,1,1,1,1
0.4,0,0,0,0,0,0.1,0.76,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.45,0,0,0,0,0.01,0.35,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.5,0,0,0,0,0.06,0.66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1